행자부행정동코드,시군구명,행정동명,공동육아나눔터유무,유아인구,필터링,위도,경도
11110530,종로구,사직동,0,1178.694476,0,37.57410805,126.9701437
11110540,종로구,삼청동,0,252.8974683,0,37.58801344,126.9811137
11110550,종로구,부암동,0,1508.016872,0,37.59669866,126.9625567
11110560,종로구,평창동,0,1967.646656,0,37.61396501,126.969274
11110570,종로구,무악동,0,824.0525668,0,37.57774075,126.9589891
11110580,종로구,교남동,0,902.3363239,0,37.57105298,126.964161
11110600,종로구,가회동,0,519.848947,0,37.58267644,126.9866182
11110615,종로구,종로1.2.3.4가동,0,1501.353882,1,37.57507655,126.9897333
11110630,종로구,종로5.6가동,0,330.6409198,0,37.573016,127.004241
11110640,종로구,이화동,0,963.8243214,0,37.57969001,127.0030693
11110670,종로구,창신1동,1,225.3241896,0,37.57226265,127.0140191
11110680,종로구,창신2동,0,476.5381874,0,37.57575481,127.0102517
11110690,종로구,창신3동,0,544.1311223,0,37.57881917,127.0132088
11110700,종로구,숭인1동,0,571.6978951,0,37.57722518,127.0168612
11110710,종로구,숭인2동,0,480.3181373,0,37.57430675,127.0206376
11110515,종로구,청운효자동,0,2123.479059,0,37.58465806,126.9704175
11110650,종로구,혜화동,0,2045.874184,0,37.58747148,126.9976891
11140520,중구,소공동,0,1295.142734,0,37.56429679,126.9743586
11140540,중구,회현동,0,529.6514351,0,37.55696816,126.9767086
11140550,중구,명동,0,769.4951944,0,37.56372809,126.9843554
11140570,중구,필동,0,416.8473459,0,37.55680279,126.9938483
11140580,중구,장충동,0,324.345308,0,37.55560998,127.0022798
11140590,중구,광희동,0,554.267275,0,37.56520434,127.0036254
11140605,중구,을지로동,0,244.9278575,0,37.56664043,126.9964914
11140650,중구,신당5동,0,767.8090817,0,37.56358116,127.0220162
11140670,중구,황학동,0,1072.413206,0,37.56841911,127.020798
11140680,중구,중림동,0,642.3592583,0,37.55731796,126.9659614
11140615,중구,신당동,1,655.9158561,0,37.56574752,127.0137748
11140625,중구,다산동,0,1247.504697,0,37.55470266,127.0082631
11140635,중구,약수동,0,1465.14628,0,37.54983728,127.0102398
11140645,중구,청구동,0,1454.630166,0,37.55685546,127.0149896
11140665,중구,동화동,0,787.4019221,0,37.56059413,127.018671
11170510,용산구,후암동,0,1211.12904,0,37.54993772,126.9805887
11170520,용산구,용산2가동,0,840.1815079,0,37.54023873,126.9835321
11170530,용산구,남영동,0,571.6528502,0,37.54510712,126.9735057
11170570,용산구,원효로2동,0,1517.533007,0,37.53310438,126.9513933
11170580,용산구,효창동,0,1031.745413,0,37.54305122,126.9613089
11170590,용산구,용문동,0,805.9383922,0,37.5381469,126.9585843
11170630,용산구,이촌1동,0,3579.222049,0,37.5172771,126.9709594
11170640,용산구,이촌2동,0,698.8780339,0,37.52333115,126.9539394
11170650,용산구,이태원1동,0,479.7662498,0,37.53339456,126.9932493
11170660,용산구,이태원2동,0,588.2016832,0,37.54166032,126.9921342
