시군구명,행정동명,위도,경도,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,2021혼인,어린이보호구역현황,2021_한부모_가구수,2021_저소득_가구수,2021_예산현액,2021_세입,2021_세출,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,어린이집_수,2020GDP1인당,공동육아나눔터유무,유아인구,인구대비아동,20-40직장인구,20-40직장인구비,인구대비예산,20-40생활인구,한부모저소득평균
종로구,종로1.2.3.4가동,37.574461,126.9902618,58325.26319,630.0829553,198.51948,3024.408686,3510.646869,3321.885021,3776.675228,451.3948351,221.3566117,3210.758153,2682.69228,2544.0058,2208.177116,28,3,96,214,662770,695108,540729,8776.786458,1516.315104,2746.708333,2404.023438,10,223603,0,1501.353882,0.025741056,6667.046875,0.759622774,11.36334349,24279.24915,155
광진구,광장동,37.546892,127.103025,36409.92519,1699.293528,1436.536618,775.3817541,1053.818469,1411.095271,1679.64699,1920.744175,1608.919489,961.7891844,888.2406793,1485.935057,1857.868181,78,9,170,941,873075,886951,731866,1628.612903,255.0322581,477.2258065,398.8709677,16,18062,0,6665.49381,0.183068045,1131.129032,0.694535227,23.97903856,10113.77559,555.5
동대문구,용신동,37.5758185,127.0372169,41036.38694,744.1992092,341.305326,1672.616372,1838.882745,1563.169556,1815.572676,756.003439,324.001944,1988.757565,1708.628049,1752.406844,1387.332843,172,1,169,898,1019079,1058286,856057,1112.701863,127.2763975,233.6397516,267.673913,11,20791,1,2165.509918,0.052770482,628.5900621,0.56492227,24.83354593,13727.36665,533.5
동대문구,장안1동,37.567842,127.066375,34624.2375,1062.621811,459.107129,1352.123046,2033.32194,1636.943675,1674.46381,972.130462,450.6968078,1488.020603,1480.589351,1806.727473,1457.143576,163,0,169,898,1019079,1058286,856057,1295.431762,162.0496278,273.5955335,386.101737,25,20791,0,2944.55621,0.085043207,821.7468983,0.634342095,29.43253263,12929.33347,533.5
중랑구,망우본동,37.6005732,127.1014684,38840.38163,1313.272569,667.8596633,1264.676214,1601.094943,1473.902533,1500.988348,1400.520744,706.2066321,1391.864177,1416.317944,1831.648157,1491.462622,123,0,311,1776,1124221,1131325,982443,207.0064516,28.68387097,40.59354839,52.37419355,16,12340,0,4087.859608,0.105247668,121.6516129,0.587670635,28.94464351,11971.95494,1043.5
강북구,송중동,37.616099,127.033738,35338.61212,1114.835335,596.06344,1037.674088,1176.401909,1156.03054,1439.535005,1062.294572,645.8856405,1289.240599,1092.016896,1380.130688,1311.617193,94,7,262,1445,995846,1042283,857676,260.453202,39.60591133,61.53694581,70.08866995,14,11135,0,3419.078988,0.096751932,171.2315271,0.657436828,28.18011066,9882.646918,853.5
노원구,월계1동,37.6199197,127.0630165,23408.67616,835.5532841,429.7671439,666.9863759,817.2723823,815.6077589,939.5273508,706.4273936,321.894931,708.4013496,701.0137767,754.9222403,824.786055,62,0,216,2024,1426680,1438118,1226080,289.8709677,28.93548387,59.29032258,88.4516129,14,12432,0,2293.642753,0.097982591,176.6774193,0.609503672,60.94663322,6228.51729,1120
노원구,월계2동,37.6325377,127.0508,20372.36263,813.3669193,428.8213638,456.555533,612.5918717,673.3451775,725.936784,891.8520606,456.5990322,492.6307376,571.9375977,695.1608727,744.0909109,79,0,216,2024,1426680,1438118,1226080,923.3047257,148.8800555,234.7965631,230.3192484,16,12432,0,2590.639376,0.127164405,613.995867,0.664998077,70.0301691,4972.249485,1120
노원구,월계3동,37.6210475,127.0692485,25881.47847,1242.809159,500.5433759,777.1264375,1010.252504,885.6632332,1000.014292,1447.609671,553.0969843,693.2412143,852.2955645,1044.97146,1045.355767,126,0,216,2024,1426680,1438118,1226080,1981.954919,374.7037162,595.3468853,517.3930847,31,12432,0,3744.05919,0.14466172,1487.443686,0.750493198,55.1235897,7308.920473,1120
노원구,공릉2동,37.621332,127.083488,45885.68417,1796.147206,1150.742028,1325.747248,1495.302652,1479.865,1640.290627,1646.714832,1029.196768,1392.535194,1372.615132,1730.541644,1597.900909,129,0,216,2024,1426680,1438118,1226080,2961.391837,632.6383965,904.1036275,738.7573818,35,12432,0,5622.800834,0.122539326,2275.499406,0.768388491,31.09205029,12034.79841,1120
노원구,하계1동,37.6405374,127.0725852,25983.37592,555.2026764,656.0043021,663.6520587,649.8118565,705.0528573,934.3385222,627.138251,649.534193,795.2943845,689.0850031,761.8461597,897.3469623,67,0,216,2024,1426680,1438118,1226080,125.5806452,4.548387097,15.25806452,34.4516129,9,12432,0,2487.879423,0.095748891,54.25806452,0.432057539,54.90741482,6096.427804,1120
노원구,하계2동,37.6320048,127.0679733,14919.93616,564.1815242,498.8165986,386.4341389,427.5951266,463.3346852,599.8374559,486.1170521,401.5969613,458.3195523,472.427231,567.9716678,680.5719003,63,0,216,2024,1426680,1438118,1226080,741.477483,133.0144371,179.3403143,177.7909515,12,12432,0,1950.712136,0.130745341,490.1457029,0.661039228,95.62239307,4056.491758,1120
노원구,중계본동,37.64784,127.080338,21206.41562,906.643775,1168.837382,345.7775273,365.3644524,569.7738657,972.7887395,812.699036,1025.03504,438.1882387,305.1656033,581.3146411,972.5871606,29,0,216,2024,1426680,1438118,1226080,965.4840349,153.0185531,267.9993268,247.7180509,9,12432,0,3913.215233,0.184529781,668.7359308,0.692643179,67.27586715,4550.960229,1120
노원구,중계1동,37.6525986,127.0775275,26658.85643,1094.756713,1618.480971,359.8369325,471.9881115,754.5003875,1347.845164,1074.656308,1505.605875,519.7194801,416.6895493,751.4378153,1224.570066,28,0,216,2024,1426680,1438118,1226080,1981.954919,374.7037162,595.3468853,517.3930847,11,12432,0,5293.499867,0.198564401,1487.443686,0.750493198,53.51617402,5846.587506,1120
노원구,중계4동,37.6587275,127.0780091,16522.56737,625.3429457,511.9509325,317.856969,413.1223786,475.7834615,659.8537126,633.2221479,428.2028879,411.2275759,340.0610575,487.6185185,529.9307043,50,0,216,2024,1426680,1438118,1226080,502.8064516,51.93548387,99.74193548,136.9354839,7,12432,0,2198.718914,0.133073684,288.6129033,0.574003978,86.34735559,3635.454378,1120
노원구,상계1동,37.6799006,127.0549781,37947.08415,1716.613785,936.9344278,970.801561,1262.758049,1187.452306,1451.0809,1392.292821,784.9740792,1104.575418,1077.539093,1373.614771,1318.188524,121,0,216,2024,1426680,1438118,1226080,408.9354839,12.83870968,36.25806452,84,25,12432,0,4830.815113,0.127303987,133.0967742,0.325471326,37.59656458,9746.010622,1120
노원구,상계2동,37.6574727,127.0678377,29546.34196,833.4660391,568.6858918,864.0553319,877.918185,893.187818,1104.881888,889.3462217,637.2363918,1065.895545,946.5441505,1016.78918,938.9821009,47,0,216,2024,1426680,1438118,1226080,328.6571429,67.7047619,58.16190476,80.78095238,13,12432,0,2928.734544,0.099123423,206.647619,0.628763511,48.28618047,7708.254199,1120
